RUT;Despacho;Lubricantes;Neumaticos;Repuestos;Servicios
3680994;0;0,5;0;0,5;0
3685124;0;0;0;1;0
3690743;0;0;0;1;0
3693860;0;0;0,8;0,2;0
3697437;0;0,08;0,15;0,77;0
3697573;0;0;0;1;0
3701279;0;0;0,28;0;0,72
3703508;0;0;0,08;0,83;0,08
3706826;0;0;0;1;0
3708535;0;0;0,5;0,5;0
3710315;0;0;0;1;0
3710942;0;1;0;0;0
3714887;0;0;1;0;0
3716558;0;0;0,5;0;0,5
3718314;0;0;0;1;0
3721488;0;0;1;0;0
3724953;0;0,1;0,1;0,8;0
3728332;0;1;0;0;0
3731849;0;0;0,27;0,73;0
3735199;0;0;0;1;0
3736462;0;0;0;1;0
3739294;0;0;0;1;0
3741534;0;1;0;0;0
3744093;0;0;0;1;0
3750885;0;0;0;1;0
3751270;0;0;0;0;1
3753820;0;0,05;0,32;0;0,64
3755140;0;0;1;0;0
3758890;0;0,33;0;0,67;0
3761759;0;0;1;0;0
3763749;0;0,11;0,44;0,33;0,11
3772292;0;0;0;1;0
3779357;0;0;0,25;0;0,75
3782867;0;0,61;0,21;0,05;0,12
3783109;0;0;0;1;0
3787760;0;0;0;0,57;0,43
3790757;0;0;0,5;0;0,5
3791812;0;0,33;0;0,67;0
3794504;0;0;0;1;0
3797034;0;0;0;0;1
3805148;0;0;0,25;0,58;0,17
3810094;0;0,04;0;0,75;0,22
3812436;0;0;0;1;0
3813247;0;0,33;0;0,22;0,44
3814788;0;0;0;1;0
3815275;0;0;0,67;0;0,33
3815652;0;0;0,33;0;0,67
3815758;0;0;0;1;0
3816363;0;1;0;0;0
3816663;0;0;0;0,33;0,67
3818305;0;0,05;0,01;0,92;0,01
3818893;0;0,15;0,12;0,09;0,63
3821215;0;0,09;0;0,07;0,84
3821421;0;0,04;0;0,61;0,35
3822175;0;0;0;1;0
3822222;0;0;0;0,33;0,67
3822915;0;0;0;0;1
3823937;0;0;0;0;1
3824575;0;0;0;0;1
3826420;0;0;0,25;0;0,75
3827653;0;0;0;1;0
3830248;0;0;0;1;0
3834164;0;0;0;1;0
3836596;0;0;0;0;1
3850006;0;0;0;0;1
3850014;0;0;0,11;0,89;0
3852160;0;0;0;1;0
3854572;0;0;0;1;0
3856857;0;0;0;1;0
3857296;0;0,17;0,17;0,67;0
3857995;0;0;0;1;0
3858312;0;0;0,33;0;0,67
3858560;0;0;0;1;0
3860028;0;0;1;0;0
3862290;0;0;0,33;0;0,67
3864270;0;0;1;0;0
3865169;0;0;0;0;1
3865192;0;0;1;0;0
3870217;0;0;1;0;0
3872110;0;0;0;1;0
3872192;0;0;0;1;0
3873476;0;1;0;0;0
3875020;0;0,57;0;0,43;0
3875054;0;1;0;0;0
3880918;0;0;0,12;0,88;0
3881208;0;0;1;0;0
3881968;0;0,5;0;0,5;0
3882393;0;0;0,07;0,27;0,66
3882929;0;0;0;1;0
3885701;0;0,15;0,04;0,76;0,04
3888262;0;0;1;0;0
3904281;0;0;0;1;0
3906002;0;0;0;0;1
3909143;0;0;0;1;0
3910347;0;1;0;0;0
3913220;0;0;0;1;0
3916936;0;0,33;0;0,67;0
3918988;0;0,33;0;0,67;0
3919538;0;0,16;0,08;0,51;0,24
3919630;0;0,01;0;0,16;0,82
3930230;0;0;0;0,5;0,5
3930367;0;0;0;0,5;0,5
3931918;0;0;1;0;0
3934208;0;0;0;1;0
3934695;0;0;0;1;0
3936097;0;0;0;1;0
3939297;0;1;0;0;0
3942543;0;1;0;0;0
3944623;0;0;0;0,2;0,8
3946787;0;0;0,73;0,27;0
3948760;0;0;0;1;0
3950477;0;0;0;1;0
3950768;0;0;0;1;0
3951362;0;0;0;1;0
3951930;0;0;0;0;1
3955304;0;0;0;1;0
3959593;0;0;0,17;0,83;0
3961865;0;0;0,1;0;0,9
3966153;0;0;0;1;0
3969343;0;0;0,33;0;0,67
3969952;0;1;0;0;0
3971063;0;0,08;0,42;0,5;0
3975270;0;0;1;0;0
3984485;0;0,08;0;0,92;0
3988074;0;0;0;1;0
3988774;0;0;0;1;0
3990254;0;0;1;0;0
3991260;0;0;0;1;0
3992048;0;0;0;0;1
3992189;0;0;1;0;0
3993540;0;0;0;0;1
3996443;0;0;0;0;1
3996567;0;0;1;0;0
3997674;0;1;0;0;0
3998238;0;0,22;0;0,78;0
3998545;0;0;1;0;0
4000604;0;0,26;0,03;0,63;0,08
4001220;0;1;0;0;0
4001265;0;0;0;0;1
4001751;0;0,91;0,09;0;0
4002210;0;0;1;0;0
4004024;0;0;0;1;0
4005743;0;0;0;1;0
4007131;0;0,2;0;0,8;0
4007541;0;0,14;0;0,86;0
4014559;0;0;0,17;0,83;0
4014822;0;0,67;0;0,33;0
4020175;0;0,05;0,16;0,55;0,24
4021615;0;0;0;1;0
4025674;0;0,08;0;0,92;0
4026117;0;0;1;0;0
4026861;0;0;0,27;0;0,73
4027799;0;0;0,33;0,67;0
4029072;0;0;0;1;0
4029339;0;0;0,27;0,73;0
4029792;0;0;0;1;0
4030640;0;0;0;1;0
4032059;0;0;0,04;0,96;0
4035409;0;0;0;1;0
4035477;0;0;0,5;0,5;0
4036296;0;0;0;1;0
4036474;0;0;0,17;0,83;0
4044568;0;0;0;1;0
4046819;0;0;0;1;0
4052113;0;0;0,77;0,23;0
4052233;0;0;0;1;0
4054721;0;0;0;1;0
4055386;0;0;0;1;0
4055478;0;0;1;0;0
4055533;0;0;0;1;0
4056721;0;1;0;0;0
4057520;0;0;0;0;1
4058990;0;0;0;1;0
4059648;0;0;0;1;0
4061907;0;0;1;0;0
4066607;0;0;0;1;0
4066982;0;1;0;0;0
4067328;0;0;0;0;1
4069729;0;0;0;1;0
4070979;0;0,29;0,29;0,43;0
4072127;0;0;0;1;0
4073940;0;0;0;1;0
4078377;0;0;0;1;0
4079385;0;0,19;0,08;0,73;0
4084264;0;1;0;0;0
4085513;0;0,11;0,22;0,67;0
4089277;0;0;0;1;0
4094704;0;0;0;1;0
4095007;0;0;0,33;0;0,67
4095582;0;0;0;0;1
4102901;0;0;0;1;0
4104136;0;1;0;0;0
4106441;0;0;0,27;0,27;0,45
4108182;0;0;0;0,25;0,75
4109531;0;0;0;0;1
4111496;0;0;0;0;1
4111729;0;0;1;0;0
4112937;0;0;0;1;0
4113210;0;0;0;1;0
4114298;0;0;0;1;0
4114513;0;0;0,5;0,5;0
4114724;0;1;0;0;0
4116008;0;0,01;0;0,99;0
4116396;0;0;0;1;0
4117527;0;0;0,5;0,5;0
4118689;0;0;0;0;1
4118830;0;0;0;1;0
4118887;0;0;0,08;0,92;0
4119560;0;0,21;0,1;0,59;0,09
4124780;0;0;0,5;0;0,5
4125777;0;0,75;0;0,25;0
4126584;0;0;0,01;0,99;0
4126863;0;0,06;0,11;0,67;0,17
4127779;0;0;0;1;0
4128647;0;0;0,33;0;0,67
4129149;0;0;0,06;0,81;0,12
4132070;0;0,25;0;0,75;0
4132189;0;0;0;1;0
4132977;0;0,82;0;0,18;0
4133497;0;0;0;1;0
4133525;0;0,2;0;0,8;0
4134828;0;0;0;1;0
4136936;0;0;0;1;0
4140968;0;0;1;0;0
4142430;0;0;1;0;0
4142438;0;0;1;0;0
4146589;0;0;0;0;1
4146695;0;0;0;0;1
4148353;0;0;0;1;0
4148496;0;0;0;1;0
4148914;0;0;0;1;0
4149686;0;0,44;0;0,56;0
4150874;0;0;0;1;0
4155121;0;0,03;0,18;0,42;0,36
4155419;0;0,33;0,33;0,33;0
4155625;0;0;0,07;0,4;0,53
4156655;0;0,17;0;0,83;0
4157419;0;0,02;0,09;0,26;0,62
4158506;0;0;1;0;0
4161362;0;0;1;0;0
4165194;0;0;0;0;1
4168137;0;0;1;0;0
4169053;0;1;0;0;0
4169995;0;0,06;0;0,94;0
4170150;0;0,05;0;0,82;0,14
4170935;0;0,26;0,07;0,67;0
4171376;0;0;0,33;0,33;0,33
4172021;0;0;0;1;0
4172075;0;0;0;1;0
4172407;0;0;0;1;0
4175188;0;0;1;0;0
4175252;0;0;0;1;0
4176536;0;0;0;1;0
4179169;0;1;0;0;0
4179933;0;0;0;1;0
4181538;0;0,31;0,06;0,62;0
4183140;0;0;0;1;0
4190956;0;0;1;0;0
4193348;0;0,07;0,02;0,91;0
4193487;0;0,08;0,15;0,77;0
4194047;0;0;0;1;0
4195047;0;0;0;0;1
4200495;0;0;1;0;0
4200638;0;0;1;0;0
4201220;0;0;0,5;0,5;0
4201290;0;0;0;0;1
4201582;0;0;1;0;0
4205356;0;0;0,17;0,83;0
4206724;0;0,24;0,11;0,64;0,01
4207648;0;0;0;1;0
4207665;0;0;1;0;0
4208946;0;0,01;0,46;0,04;0,48
4209136;0;0;0;1;0
4209321;0;0;0;1;0
4211688;0;0;0;0;1
4212949;0;0;0;1;0
4213751;0;0;0;0;1
4215198;0;0,78;0;0,22;0
4215684;0;0;0,07;0,93;0
4219984;0;0;0,5;0;0,5
4230644;0;0,67;0;0,33;0
4231124;0;0;0,18;0,82;0
4235544;0;0;0;1;0
4236341;0;0;0;1;0
4239573;0;0;0,16;0,84;0
4240109;0;0,67;0,33;0;0
4240113;0;0;0;1;0
4241787;0;0;0;1;0
4242213;0;0;0,25;0,75;0
4243592;0;0;0;0;1
4245976;0;0,12;0,25;0,62;0
4246824;0;0;0,5;0;0,5
4247553;0;0;0,25;0,25;0,5
4250183;0;0,41;0,12;0,47;0
4250895;0;0;0,25;0,75;0
4252572;0;0;0,12;0,88;0
4254833;0;0,15;0;0,75;0,1
4256943;0;0;0,25;0;0,75
4257045;0;0,47;0,13;0,07;0,33
4258616;0;0,17;0;0,83;0
4258906;0;0;0;1;0
4259451;0;0;1;0;0
4259928;0;0;0,2;0,8;0
4260693;0;0,07;0;0,93;0
4263245;0;0;0,25;0,75;0
4263362;0;0;0;1;0
4264040;0;0;0;1;0
4266614;0;0;0,33;0,33;0,33
4266743;0;0;0,5;0,5;0
4267704;0;0,26;0;0,74;0
4268355;0;0;0;1;0
4271388;0;1;0;0;0
4272926;0;0;0;1;0
4274400;0;0;1;0;0
4275069;0;0,13;0;0,87;0
4276572;0;0;0;1;0
4284843;0;0;0;1;0
4286780;0;0;0;0;1
4289387;0;0,57;0,29;0,14;0
4290336;0;0;0;1;0
4290394;0;0;0;1;0
4290510;0;0;0;1;0
4290830;0;0;0,83;0,17;0
4291184;0;1;0;0;0
4291325;0;0;0,33;0,33;0,33
4291459;0;0;0;1;0
4293162;0;0,8;0;0,2;0
4294836;0;0;1;0;0
4295113;0;0;1;0;0
4296474;0;0;0;1;0
4297213;0;0;0;1;0
4298877;0;0;0;1;0
4298919;0;0;0;1;0
4299465;0;0;0;0;1
4299702;0;0;1;0;0
4299936;0;0;0,23;0,04;0,73
4300286;0;0;0;0;1
4301892;0;0;0;1;0
4306680;0;0;0;1;0
4306753;0;0;0;1;0
4308255;0;0;0;1;0
4308354;0;0,19;0,06;0,75;0
4309380;0;0,25;0;0,75;0
4310278;0;0;0;0,88;0,12
4310320;0;0;0,12;0,88;0
4310390;0;0;0;1;0
4311332;0;0;0;0;1
4313107;0;0;0;1;0
4313786;0;0;0;1;0
4315311;0;0;0,33;0;0,67
4315495;0;0;0,08;0,77;0,15
4318663;0;0;0;0,43;0,57
4319684;0;0;0;0;1
4320282;0;0;1;0;0
4321437;0;0,5;0;0,5;0
4321906;0;0;1;0;0
4322452;0;0;0;1;0
4322774;0;0;0;1;0
4324564;0;0;0;1;0
4325037;0;0;0;1;0
4329862;0;0;0;1;0
4330127;0;0;0;1;0
4335359;0;0;0,25;0;0,75
4339511;0;0;0,25;0,38;0,38
4340129;0;0;1;0;0
4340401;0;0,5;0;0,5;0
4341288;0;0,13;0,09;0,78;0
4346220;0;0,62;0;0,38;0
4347012;0;0;0,75;0,25;0
4347118;0;0;0;1;0
4347189;0;0;0;1;0
4348772;0;0;0;1;0
4349039;0;0;0,6;0,4;0
4351479;0;0,6;0,2;0,2;0
4352018;0;0;1;0;0
4353315;0;0;0;1;0
4353891;0;0;0,5;0,5;0
4353900;0;0,5;0;0;0,5
4354456;0;0;0,33;0;0,67
4355328;0;0;0;1;0
4355519;0;0;0,5;0;0,5
4356874;0;0,5;0;0,5;0
4358474;0;0;0,5;0;0,5
4358647;0;0;1;0;0
4358721;0;0;0,33;0,17;0,5
4359056;0;0;0,33;0;0,67
4359475;0;0;0,75;0,25;0
4362386;0;0;1;0;0
4362570;0;0;0,5;0;0,5
4363971;0;0;0;1;0
4370264;0;0;0;1;0
4371831;0;0;0,25;0;0,75
4373081;0;0;0;1;0
4373175;0;0,12;0;0,88;0
4373502;0;0,5;0;0,5;0
4376194;0;0,2;0;0,8;0
4376322;0;0;0;1;0
4376881;0;0;0;1;0
4377248;0;0;0;0;1
4377676;0;0;0;1;0
4377677;0;0;0;1;0
4379728;0;0;0;0;1
4381990;0;0;0;1;0
4382748;0;1;0;0;0
4383127;0;0;0;1;0
4384001;0;0;0;0;1
4385075;0;0;0;1;0
4386618;0;0,08;0;0,77;0,15
4387542;0;0;1;0;0
4388111;0;0,06;0,18;0,76;0
4389707;0;0;0,29;0,71;0
4390114;0;0;0;1;0
4390573;0;0;0,5;0,5;0
4391168;0;0;0;1;0
4391562;0;0;1;0;0
4395668;0;0;0,5;0;0,5
4395711;0;0;0;0;1
4396160;0;0,33;0;0,67;0
4398522;0;0;0;0;1
4399076;0;1;0;0;0
4399640;0;0,51;0,05;0,44;0
4399962;0;0;1;0;0
4402496;0;0;0;0,5;0,5
4403421;0;0;0,5;0;0,5
4405720;0;0,33;0;0,67;0
4405725;0;0,07;0,07;0,86;0
4406537;0;0;0;1;0
4409322;0;1;0;0;0
4410753;0;0;1;0;0
4410948;0;0;0;1;0
4412127;0;0;0;1;0
4412707;0;0,09;0,09;0,83;0
4413531;0;0;0;1;0
4413819;0;0;0;0;1
4414367;0;1;0;0;0
4416971;0;0;0;0,4;0,6
4419971;0;0;0;0;1
4420722;0;0;0;1;0
4420775;0;0;0;1;0
4420868;0;0;0;1;0
4422743;0;0,5;0;0,5;0
4422830;0;0,25;0;0,75;0
4423041;0;0;0;1;0
4423357;0;0;0;1;0
4425325;0;0,25;0;0,38;0,38
4427520;0;0;0;1;0
4428153;0;0,25;0;0,75;0
4428630;0;0,33;0;0,67;0
4431358;0;0;0;1;0
4441888;0;0;0;1;0
4443971;0;0,25;0,25;0,5;0
4446355;0;0;0,5;0;0,5
4448844;0;0;0;0;1
4451142;0;0;0,12;0,88;0
4451767;0;0,33;0;0,67;0
4452121;0;0;0;1;0
4452653;0;0,64;0,18;0,18;0
4454973;0;0;0;0,83;0,17
4455587;0;0;0;1;0
4456097;0;0;0;1;0
4456801;0;0;0;1;0
4456809;0;0,25;0,07;0,68;0
4457613;0;0;0,25;0,75;0
4457615;0;0,04;0,08;0,88;0
4458306;0;0;1;0;0
4458576;0;0;1;0;0
4458707;0;0;0;1;0
4459046;0;0;0;0;1
4459628;0;0;0;1;0
4464221;0;0;0;1;0
4464638;0;0,5;0;0,5;0
4469285;0;0;0;1;0
4469682;0;0;0,67;0;0,33
4469789;0;0;0;1;0
4470773;0;0;1;0;0
4471839;0;0,33;0;0,67;0
4471947;0;0;0,5;0;0,5
4471972;0;0;0;1;0
4472197;0;0;0;1;0
4473096;0;0;0,33;0;0,67
4476103;0;0;0;1;0
4476314;0;0,12;0,01;0,85;0,01
4476664;0;0,29;0;0,71;0
4477123;0;0,09;0,09;0,82;0
4479119;0;0;0,5;0;0,5
4480007;0;0;0;0;1
4482199;0;0;0,17;0;0,83
4485904;0;0;0;0;1
4486767;0;0;0,25;0;0,75
4490076;0;0;0;1;0
4490817;0;0;0,5;0;0,5
4491197;0;0,8;0;0,2;0
4491268;0;0;0;1;0
4492315;0;0;0;1;0
4494637;0;0;0,5;0;0,5
4495956;0;0;0,25;0;0,75
4496861;0;0;0,23;0,37;0,4
4497063;0;0;1;0;0
4498214;0;0;1;0;0
4498538;0;0,18;0;0,82;0
4499575;0;0;1;0;0
4501408;0;0,15;0;0,85;0
4501830;0;0;0;1;0
4502615;0;0;0,25;0,75;0
4505232;0;0,2;0;0,5;0,3
4508751;0;0;0;1;0
4509171;0;0;0;1;0
4509180;0;0,12;0,04;0,83;0
4510290;0;0;0;0,2;0,8
4510705;0;0;0;0;1
4511171;0;0,33;0;0,67;0
4511202;0;0;0;1;0
4511672;0;0;0,25;0;0,75
4511807;0;0;0;1;0
4512431;0;0;0;1;0
4514004;0;0;0;1;0
4514143;0;0;0,21;0;0,79
4515536;0;0;1;0;0
4515660;0;0;0;1;0
4516041;0;0,05;0;0,95;0
4516660;0;0;0;0;1
4518553;0;0;0;1;0
4519593;0;0;0;0;1
4520356;0;0;0,91;0;0,09
4520507;0;0;1;0;0
4522605;0;0;0;0;1
4526643;0;0;0;1;0
4528641;0;0,6;0;0,4;0
4529817;0;0;0;1;0
4530049;0;0;0,5;0;0,5
4531026;0;0;1;0;0
4531051;0;0,2;0;0,8;0
4531354;0;0;0;0;1
4531485;0;0,17;0,17;0,67;0
4532487;0;0,12;0;0,88;0
4533429;0;0,03;0,13;0,83;0
4535157;0;0;1;0;0
4535754;0;0;0,5;0;0,5
4537131;0;0;0,17;0,83;0
4538595;0;0;0;1;0
4539337;0;0,14;0,21;0,66;0
4539909;0;0,11;0;0,89;0
4543661;0;0;1;0;0
4544173;0;0;0,06;0,94;0
4545997;0;0;0,08;0,54;0,38
4548770;0;0;0;1;0
4550027;0;0;0;1;0
4552685;0;0;0,25;0;0,75
4554363;0;0;1;0;0
4557815;0;0,18;0,18;0,64;0
4560802;0;0;0;1;0
4562774;0;0;0;1;0
4564922;0;0;0;1;0
4565002;0;0,2;0;0,8;0
4565976;0;0;0;1;0
4569762;0;0;0;1;0
4570082;0;0;1;0;0
4571085;0;0,14;0;0,86;0
4572975;0;0,5;0,5;0;0
4574314;0;0;1;0;0
4575063;0;0;0,33;0;0,67
4575096;0;0;0;1;0
4575769;0;0,14;0,1;0,76;0
4575786;0;0;0;1;0
4575814;0;0;0;1;0
4576136;0;0;0;1;0
4577500;0;0;1;0;0
4580436;0;0;0;0;1
4582846;0;0;0,67;0;0,33
4583861;0;0,06;0;0,94;0
4584795;0;0;0,67;0;0,33
4585042;0;0;0;1;0
4586265;0;0;0;1;0
4587343;0;0,25;0,2;0,4;0,15
4588732;0;0;0;1;0
4589493;0;0,14;0,36;0,43;0,07
4589494;0;0,09;0,06;0,85;0
4592168;0;0;1;0;0
4592426;0;0;0;1;0
4592540;0;0,14;0,57;0,29;0
4595519;0;0,12;0;0,88;0
4597743;0;0;0;1;0
4597911;0;0,11;0,11;0,78;0
4597912;0;0;0,03;0,97;0
4598597;0;0;0,33;0;0,67
4599819;0;0;0,06;0,69;0,25
4600596;0;0;0;1;0
4607341;0;0;0;1;0
4610426;0;0;0;1;0
4610845;0;0,08;0,08;0,84;0
4610941;0;0;0,12;0;0,88
4612658;0;0;1;0;0
4615383;0;0;1;0;0
4615606;0;0;0;0,4;0,6
4616440;0;0;0,5;0,5;0
4616518;0;0;0;1;0
4616541;0;0,17;0;0,83;0
4617430;0;0;0;1;0
4617673;0;0,17;0;0,83;0
4618605;0;0;0;1;0
4619110;0;0;0,5;0,5;0
4619994;0;0,33;0;0,67;0
4620547;0;0;0,75;0;0,25
4621204;0;0,12;0,24;0,65;0
4621209;0;0,05;0,05;0,89;0
4622360;0;0,25;0,25;0;0,5
4623053;0;0,12;0;0,88;0
4624003;0;0;1;0;0
4624409;0;0;0,33;0;0,67
4625857;0;0,45;0,18;0,27;0,09
4626229;0;0;0,15;0,85;0
4626435;0;0,5;0;0,5;0
4626868;0;0;0,21;0,79;0
4627052;0;0;0;1;0
4628075;0;0;0;0;1
4630065;0;0;1;0;0
4630270;0;0,93;0;0,07;0
4632037;0;0;0,33;0,33;0,33
4632043;0;0,5;0;0,5;0
4632635;0;0;0;0,67;0,33
4633864;0;0;0,67;0,33;0
4634171;0;0;0,67;0;0,33
4634486;0;0;0,25;0;0,75
4635107;0;0,06;0,11;0,83;0
4635450;0;0;0;1;0
4635850;0;1;0;0;0
4636480;0;0;0,25;0;0,75
4636818;0;0;0;1;0
4637024;0;0;0;1;0
4639669;0;0,85;0;0,15;0
4640409;0;0;0;1;0
4640680;0;0;0;0;1
4640723;0;0;0;0;1
4640884;0;0;0;0,5;0,5
4641220;0;0;1;0;0
4642020;0;0;0;1;0
4643730;0;0,32;0;0,68;0
4644357;0;0,14;0,14;0,71;0
4644884;0;0,17;0;0,83;0
4645223;0;0;0;1;0
4645628;0;0;0;1;0
4646535;0;0;0;1;0
4646553;0;0,5;0;0,5;0
4647072;0;0;0;0,25;0,75
4649156;0;0;0;1;0
4649160;0;0;1;0;0
4651385;0;0;0;1;0
4653165;0;0;0;1;0
4653225;0;0;0,67;0;0,33
4653901;0;0;0;1;0
4654308;0;0,25;0;0,75;0
